MONTH,AIRLINE_NAME,PASSENGERS_TO_INDIA,PASSENGERS_FROM_INDIA,FREIGHT_TO_INDIA,FREIGHT_FROM_INDIA
JAN,AEROFLOT,4896,6892,9.3,152.1
FEB,AEROFLOT,5266,5746,214.3,22.8
MAR,AEROFLOT,8257,9411,20.5,225.2
APR,AEROFLOT,5994,7963,5.5,87.6
MAY,AEROFLOT,5397,8120,11.4,77.7
JUN,AEROFLOT,7444,6985,11.2,89.8
JUL,AEROFLOT,8758,6342,13.3,111.2
AUG,AEROFLOT,7098,8099,6.9,69.6
SEP,AEROFLOT,7878,8206,7,38
OCT,AEROFLOT,9447,8500,6.5,42.3
NOV,AEROFLOT,11565,11675,15.5,104.5
DEC,AEROFLOT,14338,9380,16.6,278.7
JAN,AEROLOGIC,0,0,3.1,3.8
FEB,AEROLOGIC,0,0,3.1,3.5
MAR,AEROLOGIC,0,0,3.7,3.6
APR,AEROLOGIC,0,0,3.5,2.7
MAY,AEROLOGIC,0,0,4,3.8
JUN,AEROLOGIC,0,0,3.4,3.4
JUL,AEROLOGIC,0,0,3.3,480.8
AUG,AEROLOGIC,0,0,3.3,3.8
SEP,AEROLOGIC,0,0,3.4,4.3
OCT,AEROLOGIC,0,0,3.9,3.7
NOV,AEROLOGIC,0,0,3.5,3.2
DEC,AEROLOGIC,0,0,3.5,3.6
JAN,AIR ARABIA,80828,83524,89.8,1069
FEB,AIR ARABIA,70573,73935,75.4,1078.7
MAR,AIR ARABIA,76750,78529,122.8,1207
APR,AIR ARABIA,71379,77643,121.2,1149.6
MAY,AIR ARABIA,75623,80301,130.6,1131.3
JUN,AIR ARABIA,75529,64936,69.8,1140.8
JUL,AIR ARABIA,79358,68404,107.6,1101.1
AUG,AIR ARABIA,68236,77290,111.1,1056.2
SEP,AIR ARABIA,66011,76560,95.6,953
OCT,AIR ARABIA,73159,74447,96.1,1042.3
NOV,AIR ARABIA,74618,72941,121.1,975
DEC,AIR ARABIA,78641,74638,104.3,985.2
JAN,AIR ASIA BERHAD,33005,35110,27.3,269.4
FEB,AIR ASIA BERHAD,30677,31080,58.4,230.6
MAR,AIR ASIA BERHAD,30868,31059,44.4,326.9
APR,AIR ASIA BERHAD,30354,32659,54.7,295.2
MAY,AIR ASIA BERHAD,36190,32654,62.7,335.6
JUN,AIR ASIA BERHAD,33699,26871,53.6,310.5
JUL,AIR ASIA BERHAD,28796,26802,70.8,324
AUG,AIR ASIA BERHAD,25398,24589,78.7,326.9
