COUNTRY_NAME,PASSENGERS
AFGHANISTAN,217509
AUSTRALIA,138484
AUSTRIA,114409
BAHRAIN,1017700
BANGLADESH,616299
BELGIUM,178839
BHUTAN,71437
BURMA,45027
CANADA,116811
CHINA,499186
EGYPT,29350
ETHIOPIA,131394
FINLAND,86122
FRANCE,664666
GEORGIA,0
GERMANY,1246596
HONG KONG,1416178
IRAN,64386
IRAQ,6031
ISRAEL,60588
ITALY,142596
JAPAN,272605
JORDAN,0
KAZAKHSTAN,55706
KENYA,194330
KOREA,151429
KUWAIT,903271
KYRGYZSTAN,14096
MALAYSIA,1964214
MALDIVES,223665
MAURITIUS,168642
NEPAL,771314
NETHERLANDS,265246
OMAN,2439639
PAKISTAN,38652
QATAR,2756751
REUNION,2072
RUSSIA,249002
SAUDI ARABIA,3094449
SEYCHELLES,36717
SINGAPORE,3337616
SOUTH AFRICA,20399
SRI LANKA,1874799
SWITZERLAND,288449
TAIWAN,38775
TAJIKISTAN,6296
THAILAND,2523911
TURKEY,370071
TURKMENISTAN,82674
UNITED ARAB EMIRATES,3941221
UNITED ARAB EMIRATES*,12320922
UNITED KINGDOM,2480570
UNITED STATES,762487
UZBEKISTAN,100951
VIETNAM,10622
YEMEN,15425
